2025-04-06 19:57:58,682 - WARNING - Failed to fetch statistics for match 1443758030, but will continue processing
2025-04-06 19:58:00,845 - WARNING - Failed to fetch statistics for match 1445046614, but will continue processing
2025-04-06 19:58:03,046 - WARNING - Failed to fetch statistics for match 1446335262, but will continue processing
2025-04-06 19:58:05,232 - WARNING - Failed to fetch statistics for match 1447623965, but will continue processing
2025-04-06 19:58:07,560 - WARNING - Failed to fetch statistics for match 1445046611, but will continue processing
2025-04-06 19:58:09,902 - WARNING - Failed to fetch statistics for match 1446335261, but will continue processing
2025-04-06 19:58:12,071 - WARNING - Failed to fetch statistics for match 1450201432, but will continue processing
2025-04-06 19:58:14,293 - WARNING - Failed to fetch statistics for match 1490156616, but will continue processing
2025-04-06 19:58:16,446 - WARNING - Failed to fetch statistics for match 1512068724, but will continue processing
2025-04-06 19:58:18,821 - WARNING - Failed to fetch statistics for match 1490156635, but will continue processing
2025-04-06 19:58:20,980 - WARNING - Failed to fetch statistics for match 1503045969, but will continue processing
2025-04-06 19:58:23,218 - WARNING - Failed to fetch statistics for match 1503045967, but will continue processing
2025-04-06 19:58:25,469 - WARNING - Failed to fetch statistics for match 1503045953, but will continue processing
2025-04-06 19:58:27,725 - WARNING - Failed to fetch statistics for match 1530114873, but will continue processing
2025-04-06 19:58:29,976 - WARNING - Failed to fetch statistics for match 1530114914, but will continue processing
2025-04-06 19:58:32,177 - WARNING - Failed to fetch statistics for match 1784024676, but will continue processing
2025-04-06 19:58:34,594 - WARNING - Failed to fetch statistics for match 1798206526, but will continue processing
2025-04-06 19:58:36,836 - WARNING - Failed to fetch statistics for match 1784024675, but will continue processing
2025-04-06 19:58:39,201 - WARNING - Failed to fetch statistics for match 1798206540, but will continue processing
2025-04-06 19:58:41,455 - WARNING - Failed to fetch statistics for match 2045762549, but will continue processing
2025-04-06 19:58:43,671 - WARNING - Failed to fetch statistics for match 2045762524, but will continue processing
2025-04-17 22:53:38,770 - WARNING - Failed to fetch statistics for match 3307241744, but will continue processing
2025-04-17 22:53:42,607 - WARNING - Failed to fetch statistics for match 3344669975, but will continue processing
2025-04-17 22:53:46,543 - WARNING - Failed to fetch statistics for match 3388553164, but will continue processing
2025-04-17 22:53:50,578 - WARNING - Failed to fetch statistics for match 3444054620, but will continue processing
2025-04-17 22:53:54,499 - WARNING - Failed to fetch statistics for match 3761591147, but will continue processing
2025-04-17 22:53:58,407 - WARNING - Failed to fetch statistics for match 3806773389, but will continue processing
2025-04-17 22:55:11,173 - WARNING - Failed to fetch statistics for match 3327891597, but will continue processing
2025-04-17 22:55:14,998 - WARNING - Failed to fetch statistics for match 3364029976, but will continue processing
2025-04-17 22:55:18,833 - WARNING - Failed to fetch statistics for match 3388553201, but will continue processing
2025-04-17 22:55:22,704 - WARNING - Failed to fetch statistics for match 3406623253, but will continue processing
2025-04-17 22:55:26,575 - WARNING - Failed to fetch statistics for match 3761591202, but will continue processing
2025-04-17 22:55:30,472 - WARNING - Failed to fetch statistics for match 3782245794, but will continue processing
2025-04-17 22:56:45,428 - WARNING - Failed to fetch statistics for match 3173041812, but will continue processing
2025-04-17 22:56:49,345 - WARNING - Failed to fetch statistics for match 3210466345, but will continue processing
2025-04-17 22:56:53,353 - WARNING - Failed to fetch statistics for match 3210466362, but will continue processing
2025-04-17 22:56:57,191 - WARNING - Failed to fetch statistics for match 3210466363, but will continue processing
2025-04-17 22:57:00,981 - WARNING - Failed to fetch statistics for match 3251763292, but will continue processing
2025-04-17 22:57:04,826 - WARNING - Failed to fetch statistics for match 3597671149, but will continue processing
2025-04-17 22:57:08,688 - WARNING - Failed to fetch statistics for match 3597671148, but will continue processing
2025-04-17 22:57:12,683 - WARNING - Failed to fetch statistics for match 3615742213, but will continue processing
2025-04-17 22:57:16,538 - WARNING - Failed to fetch statistics for match 3615742234, but will continue processing
2025-04-17 22:57:20,400 - WARNING - Failed to fetch statistics for match 3640267388, but will continue processing
2025-04-17 22:57:24,999 - WARNING - Failed to fetch statistics for match 3666083693, but will continue processing
2025-04-17 22:57:33,557 - WARNING - Failed to fetch statistics for match 3691900191, but will continue processing
2025-04-17 22:57:37,457 - WARNING - Failed to fetch statistics for match 3706099408, but will continue processing
2025-04-17 22:58:18,960 - WARNING - Failed to fetch statistics for match 3344685596, but will continue processing
2025-04-17 22:58:46,860 - WARNING - Failed to fetch statistics for match 3307257367, but will continue processing
2025-04-17 22:58:50,717 - WARNING - Failed to fetch statistics for match 3307257388, but will continue processing
2025-04-17 22:58:54,573 - WARNING - Failed to fetch statistics for match 3327907190, but will continue processing
2025-04-17 22:58:58,415 - WARNING - Failed to fetch statistics for match 3726753097, but will continue processing
2025-04-17 22:59:02,234 - WARNING - Failed to fetch statistics for match 3761606799, but will continue processing
2025-04-17 22:59:06,124 - WARNING - Failed to fetch statistics for match 3344685616, but will continue processing
2025-04-17 22:59:10,561 - WARNING - Failed to fetch statistics for match 3761606815, but will continue processing
2025-04-17 22:59:16,424 - WARNING - Failed to fetch statistics for match 3761606821, but will continue processing
2025-04-17 22:59:21,611 - WARNING - Failed to fetch statistics for match 3782261404, but will continue processing
2025-04-17 23:00:40,782 - WARNING - Failed to fetch statistics for match 3073675621, but will continue processing
2025-04-17 23:00:44,690 - WARNING - Failed to fetch statistics for match 3073675619, but will continue processing
2025-04-17 23:00:48,534 - WARNING - Failed to fetch statistics for match 3117654808, but will continue processing
2025-04-17 23:00:52,497 - WARNING - Failed to fetch statistics for match 3117654815, but will continue processing
2025-04-17 23:00:56,420 - WARNING - Failed to fetch statistics for match 3129165593, but will continue processing
2025-04-17 23:01:00,386 - WARNING - Failed to fetch statistics for match 3156265563, but will continue processing
2025-04-17 23:01:04,230 - WARNING - Failed to fetch statistics for match 3152394134, but will continue processing
2025-04-17 23:01:08,121 - WARNING - Failed to fetch statistics for match 3196270840, but will continue processing
2025-04-17 23:01:11,966 - WARNING - Failed to fetch statistics for match 3196270853, but will continue processing
2025-04-17 23:01:15,936 - WARNING - Failed to fetch statistics for match 3495700299, but will continue processing
2025-04-17 23:01:19,777 - WARNING - Failed to fetch statistics for match 3525387854, but will continue processing
2025-04-17 23:01:23,622 - WARNING - Failed to fetch statistics for match 3561529417, but will continue processing
2025-04-17 23:01:27,478 - WARNING - Failed to fetch statistics for match 3597671224, but will continue processing
2025-04-17 23:02:53,047 - WARNING - Failed to fetch statistics for match 3117654853, but will continue processing
2025-04-17 23:02:56,878 - WARNING - Failed to fetch statistics for match 3073675645, but will continue processing
2025-04-17 23:03:00,836 - WARNING - Failed to fetch statistics for match 3427290671, but will continue processing
2025-04-17 23:03:04,754 - WARNING - Failed to fetch statistics for match 3129165610, but will continue processing
2025-04-17 23:03:08,584 - WARNING - Failed to fetch statistics for match 3462140761, but will continue processing
2025-04-17 23:03:12,474 - WARNING - Failed to fetch statistics for match 3506026417, but will continue processing
2025-04-17 23:03:16,381 - WARNING - Failed to fetch statistics for match 3561529480, but will continue processing
2025-04-17 23:04:43,507 - WARNING - Failed to fetch statistics for match 3327907278, but will continue processing
2025-04-17 23:04:47,334 - WARNING - Failed to fetch statistics for match 3327907302, but will continue processing
2025-04-17 23:04:51,213 - WARNING - Failed to fetch statistics for match 3073675667, but will continue processing
2025-04-17 23:04:55,648 - WARNING - Failed to fetch statistics for match 3327907280, but will continue processing
2025-04-17 23:04:59,450 - WARNING - Failed to fetch statistics for match 3364045671, but will continue processing
2025-04-17 23:05:03,372 - WARNING - Failed to fetch statistics for match 3373080451, but will continue processing
2025-04-17 23:05:07,269 - WARNING - Failed to fetch statistics for match 3373080446, but will continue processing
2025-04-17 23:05:11,166 - WARNING - Failed to fetch statistics for match 3782261532, but will continue processing
2025-04-17 23:05:15,092 - WARNING - Failed to fetch statistics for match 3761606937, but will continue processing
2025-04-17 23:06:13,105 - ERROR - Error updating player in database: (psycopg2.errors.UniqueViolation) duplicate key value violates unique constraint "players_pkey"
DETAIL:  Key (id)=(89965) already exists.

[SQL: 
                    INSERT INTO players (
                        id, name, hand, height_cm, country_code, birth_date,
                        turned_pro, weight_kg, birthplace, residence, coach,
                        player_status, last_updated
                    ) VALUES (
                        %(id)s, %(name)s, %(hand)s, %(height_cm)s, %(country_code)s, %(birth_date)s,
