fold,train_size,test_size,accuracy,precision,recall,f1,roc_auc,log_loss
1,322574,80642,0.8838074452518538,0.8637613708483182,0.9113613253639543,0.8869231511874879,0.960291269577833,0.26975968988404747
2,322574,80642,0.8942982564916545,0.8913862287979124,0.898018402321371,0.8946900249561415,0.9622383913155851,0.26992631792607924
3,322574,80642,0.8840430544877359,0.8670823060876162,0.9071451600902756,0.8866614144597297,0.9589485279911959,0.2793627146562406
4,322574,80642,0.8850226928895613,0.8745446211006297,0.8990104412092954,0.8866087807264278,0.9583952161547982,0.2868464890547642
5,322568,80648,0.8763515524253547,0.8619365609348915,0.8962652514631485,0.8787657743088482,0.9538797536280894,0.2926764454999314
